click_id,date,campaign_id,campaign_name,channel
fbclid_1,2025-01-01,meta_br,Brand Awareness,meta
fbclid_2,2025-01-01,meta_br,Brand Awareness,meta
fbclid_3,2025-01-01,meta_br,Brand Awareness,meta
fbclid_4,2025-01-01,meta_br,Brand Awareness,meta
fbclid_5,2025-01-01,meta_br,Brand Awareness,meta
fbclid_6,2025-01-01,meta_br,Brand Awareness,meta
fbclid_7,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_8,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_9,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_10,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_11,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_12,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_13,2025-01-01,meta_conv,Conversion - Purchase,meta
fbclid_14,2025-01-01,meta_ret,Retargeting - Cart,meta
fbclid_15,2025-01-01,meta_ret,Retargeting - Cart,meta
fbclid_16,2025-01-01,meta_ret,Retargeting - Cart,meta
fbclid_17,2025-01-01,meta_ret,Retargeting - Cart,meta
fbclid_18,2025-01-01,meta_ret,Retargeting - Cart,meta
gclid_19,2025-01-01,goog_search,Search - Brand,google
gclid_20,2025-01-01,goog_search,Search - Brand,google
gclid_21,2025-01-01,goog_search,Search - Brand,google
gclid_22,2025-01-01,goog_search,Search - Brand,google
gclid_23,2025-01-01,goog_search,Search - Brand,google
gclid_24,2025-01-01,goog_pmax,Performance Max,google
gclid_25,2025-01-01,goog_pmax,Performance Max,google
gclid_26,2025-01-01,goog_pmax,Performance Max,google
gclid_27,2025-01-01,goog_pmax,Performance Max,google
gclid_28,2025-01-01,goog_pmax,Performance Max,google
gclid_29,2025-01-01,goog_pmax,Performance Max,google
gclid_30,2025-01-01,goog_pmax,Performance Max,google
bing__31,2025-01-01,bing_search,Bing Search - Brand,bing
bing__32,2025-01-01,bing_search,Bing Search - Brand,bing
bing__33,2025-01-01,bing_search,Bing Search - Brand,bing
bing__34,2025-01-01,bing_search,Bing Search - Brand,bing
bing__35,2025-01-01,bing_search,Bing Search - Brand,bing
bing__36,2025-01-01,bing_shop,Bing Shopping,bing
bing__37,2025-01-01,bing_shop,Bing Shopping,bing
bing__38,2025-01-01,bing_shop,Bing Shopping,bing
bing__39,2025-01-01,bing_shop,Bing Shopping,bing
bing__40,2025-01-01,bing_shop,Bing Shopping,bing
pin__41,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__42,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__43,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__44,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__45,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__46,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__47,2025-01-01,pin_aware,Pinterest Awareness,pinterest
pin__48,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__49,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__50,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__51,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__52,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__53,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__54,2025-01-01,pin_conv,Pinterest Conversions,pinterest
pin__55,2025-01-01,pin_conv,Pinterest Conversions,pinterest
fbclid_56,2025-01-02,meta_br,Brand Awareness,meta
fbclid_57,2025-01-02,meta_br,Brand Awareness,meta
fbclid_58,2025-01-02,meta_br,Brand Awareness,meta
fbclid_59,2025-01-02,meta_br,Brand Awareness,meta
fbclid_60,2025-01-02,meta_br,Brand Awareness,meta
fbclid_61,2025-01-02,meta_conv,Conversion - Purchase,meta
