date,campaign_id,campaign_name,spend,impressions,clicks
2025-01-01,bing_search,Bing Search - Brand,38.44,864,21
2025-01-01,bing_shop,Bing Shopping,62.42,1280,20
2025-01-02,bing_search,Bing Search - Brand,44.02,1069,23
2025-01-02,bing_shop,Bing Shopping,57.67,1420,32
2025-01-03,bing_search,Bing Search - Brand,47.04,847,15
2025-01-03,bing_shop,Bing Shopping,58.71,1256,21
2025-01-04,bing_search,Bing Search - Brand,24.77,564,10
2025-01-04,bing_shop,Bing Shopping,62.25,1219,22
2025-01-05,bing_search,Bing Search - Brand,41.7,882,16
2025-01-05,bing_shop,Bing Shopping,78.46,1529,28
2025-01-06,bing_search,Bing Search - Brand,54.82,964,13
2025-01-06,bing_shop,Bing Shopping,52.9,1142,23
2025-01-07,bing_search,Bing Search - Brand,48.71,776,17
2025-01-07,bing_shop,Bing Shopping,77.29,1523,27
2025-01-08,bing_search,Bing Search - Brand,48.33,1019,20
2025-01-08,bing_shop,Bing Shopping,56.16,1093,14
2025-01-09,bing_search,Bing Search - Brand,48.08,1038,18
2025-01-09,bing_shop,Bing Shopping,69.02,1058,22
2025-01-10,bing_search,Bing Search - Brand,41.31,842,18
2025-01-10,bing_shop,Bing Shopping,59.28,1398,25
2025-01-11,bing_search,Bing Search - Brand,36.32,786,10
2025-01-11,bing_shop,Bing Shopping,58.78,1186,26
2025-01-12,bing_search,Bing Search - Brand,35.1,663,12
2025-01-12,bing_shop,Bing Shopping,53.85,887,15
2025-01-13,bing_search,Bing Search - Brand,52.12,1027,14
2025-01-13,bing_shop,Bing Shopping,73.05,1054,10
2025-01-14,bing_search,Bing Search - Brand,44.26,909,17
2025-01-14,bing_shop,Bing Shopping,58.13,1136,14
2025-01-15,bing_search,Bing Search - Brand,45.67,692,12
2025-01-15,bing_shop,Bing Shopping,68.9,1014,16
2025-01-16,bing_search,Bing Search - Brand,49.22,1213,14
2025-01-16,bing_shop,Bing Shopping,69.66,1134,14
2025-01-17,bing_search,Bing Search - Brand,54.26,1193,17
2025-01-17,bing_shop,Bing Shopping,68.57,1503,28
2025-01-18,bing_search,Bing Search - Brand,47.73,1041,6
2025-01-18,bing_shop,Bing Shopping,52.25,929,15
2025-01-19,bing_search,Bing Search - Brand,36.39,656,8
2025-01-19,bing_shop,Bing Shopping,64.89,1414,21
2025-01-20,bing_search,Bing Search - Brand,48.64,1071,24
2025-01-20,bing_shop,Bing Shopping,56.78,1268,19
2025-01-21,bing_search,Bing Search - Brand,51.63,1002,8
2025-01-21,bing_shop,Bing Shopping,66.99,981,16
2025-01-22,bing_search,Bing Search - Brand,44.1,828,9
2025-01-22,bing_shop,Bing Shopping,56.28,982,16
2025-01-23,bing_search,Bing Search - Brand,52.51,1161,18
2025-01-23,bing_shop,Bing Shopping,78.63,1249,25
2025-01-24,bing_search,Bing Search - Brand,43.41,898,18
2025-01-24,bing_shop,Bing Shopping,60.41,1353,24
2025-01-25,bing_search,Bing Search - Brand,48.73,930,21
2025-01-25,bing_shop,Bing Shopping,59.6,982,23
2025-01-26,bing_search,Bing Search - Brand,31.04,412,8
2025-01-26,bing_shop,Bing Shopping,62.86,1267,21
2025-01-27,bing_search,Bing Search - Brand,54.45,1205,18
2025-01-27,bing_shop,Bing Shopping,73.71,1199,18
2025-01-28,bing_search,Bing Search - Brand,38.03,509,6
2025-01-28,bing_shop,Bing Shopping,78.34,1308,20
2025-01-29,bing_search,Bing Search - Brand,37.36,844,15
2025-01-29,bing_shop,Bing Shopping,71.52,1407,18
2025-01-30,bing_search,Bing Search - Brand,38.55,867,15
2025-01-30,bing_shop,Bing Shopping,74.22,780,17
2025-01-31,bing_search,Bing Search - Brand,41.57,1102,17
2025-01-31,bing_shop,Bing Shopping,67.26,1478,21
2025-02-01,bing_search,Bing Search - Brand,41.02,740,17
2025-02-01,bing_shop,Bing Shopping,60.93,1309,19
2025-02-02,bing_search,Bing Search - Brand,35.5,741,7
2025-02-02,bing_shop,Bing Shopping,50.63,1155,14
2025-02-03,bing_search,Bing Search - Brand,52.73,955,18
2025-02-03,bing_shop,Bing Shopping,56.31,1208,23
2025-02-04,bing_search,Bing Search - Brand,51.87,1248,28
2025-02-04,bing_shop,Bing Shopping,69.09,1127,26
2025-02-05,bing_search,Bing Search - Brand,36.6,683,14
2025-02-05,bing_shop,Bing Shopping,71.33,1767,31
2025-02-06,bing_search,Bing Search - Brand,34.19,655,12
2025-02-06,bing_shop,Bing Shopping,63.89,1548,26
2025-02-07,bing_search,Bing Search - Brand,35.81,766,10
2025-02-07,bing_shop,Bing Shopping,83.22,1731,21
2025-02-08,bing_search,Bing Search - Brand,42.23,1144,11
2025-02-08,bing_shop,Bing Shopping,61.98,1329,24
2025-02-09,bing_search,Bing Search - Brand,38.47,826,12
2025-02-09,bing_shop,Bing Shopping,65.93,1051,27
2025-02-10,bing_search,Bing Search - Brand,54.48,895,16
2025-02-10,bing_shop,Bing Shopping,80.7,1495,25
2025-02-11,bing_search,Bing Search - Brand,42.37,995,15
2025-02-11,bing_shop,Bing Shopping,67.26,1454,24
2025-02-12,bing_search,Bing Search - Brand,39.47,630,7
2025-02-12,bing_shop,Bing Shopping,56.26,834,12
2025-02-13,bing_search,Bing Search - Brand,46.84,944,13
2025-02-13,bing_shop,Bing Shopping,57.81,983,12
2025-02-14,bing_search,Bing Search - Brand,37.19,823,10
2025-02-14,bing_shop,Bing Shopping,67.62,1227,34
2025-02-15,bing_search,Bing Search - Brand,27.55,566,9
2025-02-15,bing_shop,Bing Shopping,49.25,1031,19
2025-02-16,bing_search,Bing Search - Brand,31.32,666,13
2025-02-16,bing_shop,Bing Shopping,65.37,1187,28
2025-02-17,bing_search,Bing Search - Brand,43.79,616,12
2025-02-17,bing_shop,Bing Shopping,66.78,1158,25
2025-02-18,bing_search,Bing Search - Brand,42.08,969,17
2025-02-18,bing_shop,Bing Shopping,74.68,1645,32
2025-02-19,bing_search,Bing Search - Brand,38.56,877,15
2025-02-19,bing_shop,Bing Shopping,86.57,1855,38
2025-02-20,bing_search,Bing Search - Brand,40.27,756,13
2025-02-20,bing_shop,Bing Shopping,56.56,932,16
2025-02-21,bing_search,Bing Search - Brand,44.63,919,20
2025-02-21,bing_shop,Bing Shopping,63.89,1408,24
2025-02-22,bing_search,Bing Search - Brand,35.93,746,7
2025-02-22,bing_shop,Bing Shopping,55.92,1011,14
2025-02-23,bing_search,Bing Search - Brand,27.19,507,5
2025-02-23,bing_shop,Bing Shopping,62.18,1198,13
2025-02-24,bing_search,Bing Search - Brand,40.93,911,14
2025-02-24,bing_shop,Bing Shopping,65.11,1230,21
2025-02-25,bing_search,Bing Search - Brand,34.45,684,10
2025-02-25,bing_shop,Bing Shopping,95.86,1855,30
2025-02-26,bing_search,Bing Search - Brand,51.49,1005,19
2025-02-26,bing_shop,Bing Shopping,59.55,1468,22
2025-02-27,bing_search,Bing Search - Brand,47.63,1114,18
2025-02-27,bing_shop,Bing Shopping,67.88,1477,30
2025-02-28,bing_search,Bing Search - Brand,38.37,788,11
2025-02-28,bing_shop,Bing Shopping,60.83,1098,25
